Platz;Marke;Nov 19;% zu Okt 2019;% zu Nov 2018;Jan-Nov 2019;% zu Jan-Nov 2018
1;VW;62642;20;27;618000;3
2;Mercedes;32690;11;8;314389;6
3;BMW;24874;8;2;251699;5
4;Ford;23366;8;2;257055;10
5;Audi;18576;6;41;249605;5
6;Skoda;16602;6;-3;193915;5
7;Opel;15665;5;-17;204645;-4
8;Seat;11852;4;15;130812;14
9;Renault;10663;4;13;120128;-1
10;Hyundai;9666;3;1;118109;11
11;Mazda;6601;2;27;64497;3
12;Toyota;6384;2;-1;78895;0
13;Peugeot;6251;2;27;66631;5
14;Smart;5939;2;60;44594;15
15;Dacia;5343;2;19;71891;8
16;Fiat;5309;2;4;82675;7
17;Kia;5207;2;0;64011;4
18;Volvo;4977;2;4;47830;21
19;Mitsubishi;3988;1;6;48934;2
20;Mini;3954;1;-19;44974;-2
21;Citroën;3490;1;-2;55058;6
22;Porsche;2866;1;159;29297;8
23;Nissan;2692;1;1;34292;-28
24;Suzuki;2089;1;-36;32865;-5
25;Jeep;1285;0;-13;15107;-4
26;Land Rover;1267;0;-11;16242;-4
27;Honda;919;0;-20;13708;-22
28;Jaguar;741;0;10;8148;-10
29;Subaru;418;0;-14;5234;-24
30;Alfa Romeo;415;0;40;3865;-26
31;Lexus;308;0;5;3251;29
32;Tesla;280;0;130;9581;432
33;DS;233;0;36;2587;-28
34;Ssang Yong;223;0;33;2339;1
35;Sonstige;1352;1;-13;19015;
