Platz;Marke;Nov 19;X zu Okt. 2019;X zu Nov. 2018;Jan.-Nov. 2019;X zu Jan.-Nov.2018
1;VW;62642;20,2;27,2;618000;2,7
2;Mercedes;32690;10,9;7,5;314389;6,1
3;BMW;24874;8,3;1,6;251699;4,8
4;Ford;23366;7,8;1,9;257055;9,6
5;Audi;18576;6,2;41;249605;4,6
6;Skoda;16602;5,6;-3,2;193915;5
7;Opel;15665;5,2;-17,3;204645;-3,6
8;Seat;11852;4;14,5;130812;13,8
9;Renault;10663;3,6;12,9;120128;-0,8
10;Hyundai;9666;3,2;0,9;118109;11
11;Mazda;6601;2,2;26,7;64497;3,2
12;Toyota;6384;2,1;-1,3;78895;0
13;Peugeot;6251;2,1;27,4;66631;4,5
14;Smart;5939;2;59,5;44594;15,1
15;Dacia;5343;1,8;19;71891;7,5
16;Fiat;5309;1,8;3,7;82675;7,4
17;Kia;5207;1,7;0,4;64011;4,2
18;Volvo;4977;1,7;3,8;47830;20,7
19;Mitsubishi;3988;1,3;5,9;48934;1,7
20;Mini;3954;1,3;-18,9;44974;-2,2
21;Citroën;3490;1,2;-2,1;55058;6
22;Porsche;2866;1;158,7;29297;7,6
23;Nissan;2692;0,9;1,2;34292;-28,3
24;Suzuki;2089;0,7;-35,9;32865;-4,6
25;Jeep;1285;0,4;-13,2;15107;-4,1
26;Land Rover;1267;0,4;-10,9;16242;-4,2
27;Honda;919;0,3;-20,1;13708;-22,3
28;Jaguar;741;0,2;10,4;8148;-10,2
29;Subaru;418;0,1;-13,5;5234;-24,2
30;Alfa Romeo;415;0,1;40,2;3865;-25,6
31;Lexus;308;0,1;4,8;3251;28,7
32;Tesla;280;0,1;129,5;9581;432,3
33;DS;233;0,1;36,3;2587;-27,7
34;Ssang Yong;223;0,1;32,7;2339;1,3
35;Sonstige;1352;0,5;-13,1;19015;
